country_name,population,nominal_gdp_usd,gdp_per_capita_usd,gdp_per_capita_ppp,hdi,gini,area_sq_km
Afghanistan,41454761,17329000000,411,2174,0.496,35.2,652867
Albania,2402113,28372000000,10526,23404,0.81,33,28748
Algeria,46700000,266780000000,5722,16483,0.763,27.6,2381741
Andorra,87486,3897000000,44900,69146,0.913,40,467.63
Angola,39040039,93796000000,2432,7077,0.616,51.3,1246700
Antigua and Barbuda,100772,2370000000,22630,31781,0.851,32.21,440
Argentina,47067441,655000000000,13709,29267,0.849,42.3,2780400
Armenia,2777979,24559000000,8281,21509,0.786,26.5,29743
Australia,26699482,1707500000000,62594,65366,0.957,32.5,7692024
Austria,8958960,521360000000,57053,70806,0.93,31.5,83879
Azerbaijan,10412651,77373000000,7345,19808,0.787,33.7,86600
Bahamas,412628,14088000000,33290,44390,0.82,42,13943
Bahrain,1485509,44941000000,28385,61839,0.888,32.5,786.5
Bangladesh,170000000,446350000000,2620,7743,0.67,32.4,148460
Barbados,281996,6640000000,23040,25036,0.809,32.5,439
Belarus,9200569,72800000000,7821,23472,0.801,24.4,207600
Belgium,11686140,627500000000,52745,67140,0.942,27.2,30528
Belize,419137,2820000000,6341,10534,0.689,53.3,22966
Benin,13754688,17400000000,1316,4206,0.504,38.5,114763
Bhutan,787941,3110000000,3817,12684,0.681,28.5,38394
Bolivia,12388571,47171000000,3784,10642,0.698,40.9,1098581
Bosnia and Herzegovina,3210847,26130000000,8016,19875,0.779,32.7,51197
Botswana,2675352,20900000000,7855,20349,0.68,53.3,581730
Brazil,216422446,2170000000000,9900,19567,0.76,48.9,8515767
Brunei,452524,15141000000,32308,70513,0.823,32.5,5765
Bulgaria,6447710,103130000000,15886,33923,0.799,38.4,110994
Burkina Faso,23251485,19040000000,840,2484,0.431,39.8,274200
Burundi,13238559,3360000000,249,816,0.42,38.1,27834
Cabo Verde,599781,2350000000,4101,9119,0.661,41.2,4033
Cambodia,16944826,30930000000,1841,5983,0.609,31.7,181035
